0	1	4492.23	0	2221.27
1	2	4146.54	0	2049.83
1	16	3457.92	0	2448.18
2	3	6965.87	0	980.72
3	4	5073.09	0	2795.8
3	854	1643.83	0	536.448
5	6	7570.65	0	2990.6
5	879	9703.87	0	1641.44
6	7	6187.13	0	1909.42
6	21	1670.33	0	1046.97
6	22	4496.59	0	2032.84
6	410	7670.89	0	3105.19
6	452	9680.89	0	4993.78
6	453	5099.97	0	3218.32
6	888	6055.53	0	4005.03
7	8	858.664	0	127.843
7	478	612.998	0	370.113
7	479	801.999	0	2136.21
7	560	5645.84	0	2993.91
8	9	8537.35	0	1092.81
8	536	8262.56	0	1287.26
8	560	4861.72	0	4430.71
8	1073	3867.45	0	1606.56
9	10	8930.33	0	3957.41
9	535	2657.13	0	160.516
9	560	8779.62	0	1250.1
10	11	9936.92	0	4124.79
10	559	6229.85	0	792.977
11	12	608.834	0	4602.72
11	26	7481.46	0	480.575
11	29	1164.51	0	3295.68
11	558	6272.34	0	1520.24
12	13	1614.11	0	1533.14
12	595	4626.28	0	4219.88
12	1137	2033.39	0	1501.1
13	33	9299.08	0	4839.18
14	15	8268.84	0	3284.37
15	16	3155.37	0	4767.24
16	17	7001.71	0	822.3
17	18	2984.41	0	3996.23
17	822	3933.37	0	169.4
18	19	5668.15	0	2040.28
18	387	7366.25	0	3901.12
18	388	3152.8	0	1049.13
18	626	8600.84	0	1592.03
19	20	5907.5	0	3127.63
21	408	8317.71	0	2640.79
21	884	1619.81	0	4291.98
22	23	6884.63	0	4375.49
22	536	4323.51	0	2556.24
22	537	2252.89	0	3541.78
22	1077	3055.8	0	1701.38
22	1108	3252.44	0	2837.45
23	24	2384.61	0	4109.59
23	1109	5713.54	0	2937.68
24	25	3595.1	0	2620.72
25	26	8448.17	0	1720.25
26	27	429.567	0	948.04
26	560	9058.33	0	4327.17
27	28	8389.48	0	3061.71
28	29	611.638	0	1141.97
29	30	2259.9	0	3537.51
30	31	1927.82	0	519.268
31	32	2587.87	0	4455.07
32	33	4941.01	0	4894.9
33	1158	4543.75	0	4735.14
34	35	5212.66	0	3678.46
34	391	1967.79	0	1168.94
35	36	4802.58	0	3938.03
35	630	736.178	0	2366.34
