0	3170.62
1	882.418
2	559.627
3	4646.46
4	3859.87
5	575.521
6	3368.75
7	869.925
8	1800.23
9	1074.76
10	285.054
11	4875.6
12	3084.27
13	128.449
14	1194.51
15	1107.27
16	1481.68
17	3730.91
18	4830.51
19	4770.71
20	2639.73
21	952.571
22	3232.38
23	146.456
24	1437.4
25	1798.46
26	1507.03
27	1058.39
28	3912
29	4313.44
30	2162.92
31	2848.16
32	4511.82
33	621.198
34	3793.4
35	3282.88
36	1656.92
37	3369.56
38	3859.01
39	825.93
40	659.066
41	1481.59
42	1012.45
43	1621.3
44	3765.88
45	1834.24
46	489.137
47	3286.89
48	840.095
49	174.174
50	3749.76
51	3262.6
52	4290.25
53	3185.67
54	4321.51
55	3602.38
56	123.648
57	850.105
58	1933.02
59	4047.61
60	2168.96
61	209.185
62	3945.08
63	1933.76
64	3501.44
65	3960.57
66	2339.5
67	3638.65
68	3493.87
69	582.059
70	4188.88
71	4985.5
72	1634.9
73	1235.98
74	3382.77
75	3841.8
76	3735.66
77	678.149
78	3296.4
79	1834.62
80	4669.79
81	372.509
82	4246.76
83	1429.33
84	1348.41
85	149.476
86	3733.97
87	1719.15
88	2147.45
89	4832.19
90	3885.59
91	2673.91
92	1781.07
93	4874.31
94	1478
95	230.754
96	3089.08
97	4203.66
98	2369.59
99	281.828
100	1312.63
101	2898.2
102	2668.36
103	3674.73
104	867.845
105	2538.98
106	920.133
107	903.397
108	3508.31
109	508.779
110	3916.37
111	3045.64
112	3225.85
113	4548.99
114	4496.7
115	385.107
116	2065.88
117	1412.99
118	2534.73
119	4699.18
120	1276.14
121	2186.88
122	2545.02
123	1235.6
124	1796.5
125	1442.39
126	1610.36
127	3687.64
128	890.424
129	4248.4
130	4917.66
131	710.511
132	163.415
133	4793.49
134	2685.78
135	4354.01
136	4226.96
137	3721.98
138	3151.88
139	1725.4
140	4636.09
141	2516.14
142	1025.33
143	2172.97
144	2321.35
145	4208.78
146	1686.98
147	4449.96
148	3203.18
149	1035.56
150	1514.78
151	388.952
152	452.185
153	4428.2
154	1111.95
155	3440.92
156	331.203
157	3135.85
158	2431.59
159	1327.13
160	1221.06
161	1345.5
162	2425.58
163	1377.27
164	1013.77
165	2900.19
166	603.224
167	1407.09
